Category, Entry
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"JOURNAL OF LABOR, THE (w) Fri. Peters Bldg., Atlanta, Ga. Official organ Atlanta Federation of Trades and Allied Unions. AFL. Est. 1898, 8 cols., 4 pp., $2 per yr., 5c per issue. Jerome Jones, ed. Local and national labor news. Local and national ads. Uses mats. 6,380 circ., publisher's report."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR REVIEW, THE (w) Fri. 24 Campbell Bldg., Augusta, Ga. The Labor Review Publishing Co., pubr. AFL. Est. 1915, 8 cols., 4 pp., $1 per yr., 5c per issue. May Wilk, ed. Local and national labor and general news. Comics, radio, book reviews. Local and national ads. Uses mats. 2,800 circ., estimated. AFLWNS, CNS, GNS, GPS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FOX VALLEY LABOR NEWS (w) Thur. 220 Fox St., Aurora, Ill. Official organ Aurora Trades and Labor Assembly, Kane County Building Trades Council, Elgin Trades Council. AFL. Est. 1914, 6 cols., 8 pp., $2 per yr., 5c per issue. J. G. Esnorff, ed. Local and national labor news. Local general news. Radio, legal notices. Local ads. Uses mats. 3,379 circ., publisher's report. ILPA, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR BULLETIN, THE (f) Sat. Belleville, Ill. Official organ Belleville Trades and Labor Assembly. AFL. Est. 1924, 4 cols., 4 pp., $1 per yr. E. J. Loehr, ed. Local and national labor news. Local ads. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"CHICAGO UNION TEACHER (m) 1st of mo. 509 S. Wabash Aye., Chicago, Ill. Official organ Amer ican Federation of Teachers, Local No. 1. AFL. Est. 1936, 8l/2 by 11l/2 in., 26 pp. av., $1 per yr., 20c per issue. Ethel Parker, ed. Local and national labor news. Book reviews. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FEDERATION NEWS (w) Sat. 666 Lake Shore Drive, Chicago, Ill. Official organ Chicago Federa tion of Labor. AFL. Est. 1919, 5 cols., 12 pp., $2 per yr., 5c per issue. L. P. Stranbe, ed. Columnist: Philip Pearl. Local and national labor and general news. Consumers notes. Local and national ads. Uses mats. 27,000 circ., publisher's statement. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"PIONEER, THE (m) 1st of mo. P. O. Box 5624, Chicago, Ill. Official organ National Federation of Post Office Clerks, Union No. 1. AFL. Est. 1939, 3 cols., 4 pp. Local and national labor news. No ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"REPORTER (m) 1st of mo. 188 W. Randolph St., Chicago, Ill. Official organ Chicago Typographical Union No. 16. AFL. Est. 1906, 2 cols., 4 pp. E. A. Patzke, sec.-treas. Local labor news. No ads."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"WEEKLY NEWS LETTER, ILLINOIS STATE FED ERATION OF LABOR (w) Sat. 666 S. Lake Shore Drive, Chicago, Ill. Official organ Illinois State Fed eration of Labor. AFL. Est. 1915, 3 cols., 3 pp. av., $2.50 per yr. V. H. Olander and R .G. Soders- trom, eds. Local and national labor news. No ads. 3,000 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"DECATUR WEEKLY NEWS (w) Thur. 542 E. El dorado St., Decatur, Ill. Official organ Decatur Trades-Labor Assembly. AFL. Est. 1920, 6 cols., 4 pp., $2 per yr., 5c per issue. Local and national labor and general news. Local and national ads. Uses mats. 2,000 circ., publisher's report."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"UNION NEWS, THE (m) 1st of mo. 410 Metropoli tan Bldg., East St. Louis, Ill. Official organ Alumi num Workers Local No. 18,780. AFL. Est. 1939, 4 cols., 6 pp. H. B. Stookey, ed. Local and national labor news. Sports. Local ads; classified ads."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR RECORD, THE (w) Thurs. P. O. Box 965, Joliet, Ill. Official organ Will County Trades and Labor Council. AFL. Est. 1935, 5 cols., 8 pp., $2 per yr., 5c per issue. S. P. Miller, ed. Local and national labor news. Shopping guide. Local ads. 2,000 circ., estimated. ILPA."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"TRI- COUNTY LABOR JOURNAL, THE (w) Fri. Edit. add., 336 La Harpe St., La Salle, Ill. Pubn. add., 2222 4th St., Peru Ill. Official organ Trades and Labor Councils of La Salle, Perce and Spring Valley, Oglesby Trades Council, Ottawa Building Trades Council, Ottawa Central Labor Union, Team sters, Joint Council No. 59. AFL. Est. 1939, 8 cols., 4 pp., $2 per yr. Arthur Shinske, ed. Columnist: Philip Pearl. Local and national labor news. Na tional general news. Recipes, legal notices. Local ads. Uses mats. 4,600 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"INDEPENDENT WEEKLY, THE (w) Fri. 2816 Shelby Ave., Mattoon, Ill. Official organ Mattoon Central Labor Council. AFL. Est. 1932, 6 cols., $1 per yr. Everette Henne, ed. Uses mats. 1,240 circ., publisher's report. AFLWNS, UNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR GAZETTE (w) Fri. 226 N. Adams St., Pe oria, Ill. Official organ Peoria Central Labor Coun cil. AFL. Est. 1896, 6 cols., 8 pp., $2 per yr. C. E. Tidabock, ed. 1,900 circ., estimated. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR TEMPLE NEWS (w) Fri. 400 N. Jefferson Ave., Peoria, Ill. Official organ Labor Temple Asso ciation. AFL. Est. 1937, 5 cols., 16 pp., $2 per yr., 5c per issue. J. H. Wald, ed. Local and national labor, general news. Comics, movies, consumer notes, fiction. Local and national ads. Uses mats. 4,750 circ., estimated. ILNS, FP, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR NEWS (w) Fri. 331 Hampshire St., Quincy, HI. Official organ Quincy Central Labor Council. AFL. Est. 1892, 7 cols., 8 pp., $1.50 per yr. C. R. Hoffman, ed. Uses mats. 2,800 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"QUINCY RECORD (w) Thur. 514-516 Jersey St., Quincy, Ill. Official organ Trades and Labor Assem bly, Building Trades Council, Women's Union Label League. AFL. Est. 1912, 7 cols., 8 pp., $1.50 per yr. Columnist: Philip Pearl. Local and national labor and general news. Woman's page, radio, comics. Local and national ads. Uses mats. 4,268 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"ROCKFORD LABOR NEWS (w) Thur. 1418 Broad way, Rockford, Ill. Official organ Rockford Central Labor Council. AFL. Est. 1914, 5 cols., 16 pp., $2 per yr., 5c per issue. C. Brady, ed. Local and na tional labor and general news. Legal notices, radio, movies, comics, sports. Local and national ads.; classified ads. Uses mats. 8,000 circ., sworn."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"TRI - CITY LABOR REVIEW (w) Fri. Labor Tem ple, Rock Island, Ill. Official organ Tri-City Fed eration of Labor. AFL. Est. 1911, 8 cols., 8 pp., $1.50 per yr., 5c per issue. C. A. Reagan, ed. Col umnist: Philip Pearl. Local and national labor and general news. Book reviews, recipes. Local and national ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"ILLINOIS TRADESMAN, THE (w) Fri. 223V2 S. 6th St., Springfield, Ill. Official organ Springfield Federation of Labor. AFL. Est. 1897, 6 cols., 4 pp., $1 per yr., 5c per issue. R. E. Woodmansee, ed. Columnist: F. W. Braun. Local and national labor and general news. Legal notices. Local and na tional ads. Uses mats. 3,600 circ., publisher's re port. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"STREATOR LABOR NEWS (w) 112V2 N. Sterling St., Streator, Ill. Official organ Streator Trades and Labor Council. AFL."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR FORUM, THE (w) Fri. 210 N. Fulton Ave., Evansville, Ind. Official organ Evansville Central Labor Union. AFL. Est. 1919, 7 cols., 4 pp., $1 per yr. George Van Horn, ed. Local and national labor and general news. Legal notices. Local and national ads. Uses mats. FP, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FT. WAYNE LABOR NEWS (w) 248 Farmer Trust Bldg., Ft. Wayne, Ind. Official organ Ft. Wayne Central Labor Council. AFL. Est. 1935. L. B. Norris, ed. Local ads. Uses mats. 6,000 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"BULLETIN, THE (m) 1st of mo. 2820 N. Meridian, Indianapolis, Ind. Official organ The International Typographical Union. AFL. Est. 1913, 5*4 by 8 in., 23 pp., 50c per yr. Woodruff Randolph, sec. National labor and general news. No ads. 2,300 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"UNION, THE (w) Thur. 230 E. Ohio St., Indianap olis, Ind. Official organ Central Labor Union and Railroad Brotherhoods of Indianapolis, Ind. AFL. Est. 1884, 8 cols., 8 pp., $1 per yr., 5c per issue. C. R. Thorbahn, ed. Columnist: Henry Zon. Local and national labor news, national general news. Lo cal and national ads. Uses mats. 8,000 circ., sworn statement. FP."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"UNION LABOR NEWS (m) 1st of mo. 31 W. Ohio St., Indianapolis, Ind. Labor News, Inc., pubr. AFL. Est. 1922, 7 cols., 4 pp. av., $2 per yr. W. R. Bassett, ed. Local and national labor news, national general news. Local and national ads. 2,850 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"TERRE HAUTE ADVOCATE (w) Fri. Terre Haute, Ind. Official organ Indiana State Federation of Labor, Vigo County Central Labor Union. AFL."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"Est. 1919, 8 cols., 6 pp., $1 per yr., 3c per issue. Local and national labor news. Comics, sports, church news. Local and national ads ; classified ads. Uses mats. 3,500 circ., estimated. ILPA."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"BURLINGTON NEWS (w) Thurs. P. O. Box 547, Burlington, Iowa. Official organ Burlington Trades and Labor Assembly. AFL. Est. 1919, 5 cols., $1.50 per yr. Paul Richardson, ed. Uses mats. 800 circ., publisher's report."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"CEDAR RAPIDS TRIBUNE, THE (w) Fri. 210-214 3d Ave., S. E., Cedar Rapids, Iowa. The Tribune Publishing Co., pubr. AFL. Est. 1904, 7 cols., 8 pp., $1.50 per yr. Joe McCprmick, ed. Columnist : Philip Pearl. Local and national labor and general news. Local and national ads. Uses mats. 4,450 circ., publisher's report. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FARMER - LABOR PRESS (w) Thur. 513 S. Main St., Council Bluffs, Iowa. Official organ Council Bluffs Central Labor Council. AFL. Est. 1927, 7 cols., $1 per yr. S. M. Nelson, ed. Uses mats. 3,440 circ., estimated. AFLWNS, UNS, FP."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"DES MOINES FEDERATIONIST (w) Thur. 216 Locust St., Des Moines, Iowa. Official organ Des Moines Trades and Labor Assembly. AFL. Est. 1938, 7 cols., 4 pp., $1.50 per yr., 5c per issue. B. C. Kindig, ed. Local and national labor news. Local"
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"IOWA UNIONIST, THE (w) Fri. 203 7th St., Des Moines, Iowa. Official organ A.F.L. Unions of Polk County, Iowa. AFL. Est. 1899, 7 cols., 4 pp., $1.50 per yr., 5c per issue. R. E. Hughes, ed. Columnist : Philip Pearl. National labor news, local and national general news. Comics. Local and national ads. Uses mats. 11,000 circ., estimated. WNU, ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"KANSAS FEDERATIONIST (m) 1st of mo. 530 Minnesota Ave., Kansas City, Kan. Official organ Kansas State Federation of Labor. AFL. Est. 1927, 4 cols., $1.50 per yr. William Howe, ed."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR BULLETIN, THE (w) Fri. 711 Armstrong Ave., Kansas City, Kan. Official organ Central Labor Union of Kansas City, Kansas. AFL. Est. 1919, 6 cols., 4 pp., $2 per yr. T. A. Withers, ed. Local and national labor news. Legal notices. Local and national ads."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"KANSAS LABOR WEEKLY (w) Thur. 621 Jackson St., Topeka, Kan. Official organ Topeka Central Labor Union. AFL. Est. 1914, 7 cols., $1.50 per yr. L. V. Doud, ed. Uses mats. AFLWNS, UNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"PLAIN DEALER, THE (w) Fri. 323 N. Main St., Wichita, Kan. Official organ Wichita Trades and Labor Assembly. AFL. Est. 1919, 6 cols., 4 pp. J. E. Tilma, ed. Local and national labor and gen eral news. Consumers notes, legal notices. Local and national ads. Uses mats. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR ADVOCATE (Irreg.). Lexington, Ky. Offi cial organ Lexington Central Labor Union. AFL. Est. 1923."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"JOURNAL OF LABOR, THE (w) Sat. 1129 W. Main St., Louisville, Ky. The Journal of Labor Publish ing Co., Incorporated, pubr. AFL. Est. 1900, 6 cols., 4 pp., $2 per yr., 5c per issue. W. H. Davis, ed. National labor and general news. Comics. Local and national ads. Uses mats. 5,000 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"OFFICIAL BULLETIN, THE (f). 7 W. 6th St., Newport, Ky. Official organ Central Labor Coun cil 7 Kenton and Campbell Counties. AFL. Est. 1921, 5 cols., $1 per yr. W. J. Eagen, ed."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FEDERATIONIST, THE (w) Fri. 321 Chartres St., New Orleans, La. Official organ Louisiana State Federation of Labor. AFL. Est. 1918, 7 cols., $2 per yr. W. L. Donnels, ed. Uses mats. AFLWNS, UNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR RECORD, THE (m) 1st of mo. 315 St. Charles St., New Orleans, La. Official organ Louisi ana State Federation of Labor. AFL. Est. 1911, 7 cols., 6 pp., $1 per yr., 10c per issue. T. J. Kilmed, ed. Local and national labor and general news. Lo cal ads. Uses mats. AFLWNS, ILNS, WNU."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR NEWS, THE (m) 15th of mo. Augusta, Maine. Official organ Maine State Federation of Labor. AFL. Est. 1932, 7 cols., 8 pp., 50c per yr., 5c per issue. L. J. Ashey, ed. Local and national labor news, national general news. Consumers notes. Local and national ads. Uses mats. 8,000 circ., estimated. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"BALTIMORE FEDERATIONISTS (q) 1222 St. Paul St., Baltimore, Md. Official organ Baltimore Central Labor Council. AFL. Est. 1921, 4 cols., $2 per yr. T. K. Sanderson, ed. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MARYLAND MASTER PLUMBER, THE (m) 15th of mo. 423 St. Paul PL, Baltimore, Md. Official organ National Association of Master Plumbers of the United States. AFL. Est. 1926, 9 by 12 in., 18 pp. av., $1 per yr., 10c per issue. C. F. Shields, sec. National labor news. Local and national ads, want ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"TYPOGRAPHICAL UNION BULLETIN (m) 1st of mo. 7 Water St., Boston, Mass. Official organ Boston Typographical Union, No. 13. AFL. Est. 1904, 3 cols., 4 pp. J. A. Moriarty, sec-treas. Local and national labor news, national general news. No ads."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR NEWS, THE (w) Fri. 17 Federal St., Wor cester, Mass. The News Printing and Publishing Co., Inc., pubr. AFL. Est. 1906, 7 cols., 8 pp., $1 per yr., 3c per issue. F. M. Saltus, ed. Columnist : Philip Pearl. Local and national labor and general news. Legal notices, movies, women's page, radio. Local and national ads. Uses mats. 7,500 circ., estimated. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"SQUARE DEAL, THE (w) Fri. 301 Woodward Square Bldg., Battle Creek, Mich. Official organ Battle Creek Central Labor Council. AFL. Est. 1925, 7 cols., $1 per yr. J. E. Merrill, ed. Uses mats. 2,600 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"INDUSTRIAL HERALD (w) Fri. 309 9th St., Bay City, Mich. Official organ Bay City Central Trades Council. AFL. Est. 1901. E. C. Washington, ed. Local ads. Uses mats. 11,000 circ., estimated. AFLWNS, UNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"DETROIT LABOR NEWS (w) Fri. 274 E. Vernor Highway, Detroit, Mich. Official organ Detroit and Wayne County Federation of Labor. AFL. Est. 1898, 8 cols., 6 pp., $2 per yr., 5c per issue. Local and national labor and general news. Women's page, sports. Local and national ads. Uses mats. 95,000 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FLINT WEEKLY REVIEW, THE (w). Flint, Mich. Official organ The Flint Federation of Labor. AFL. Est. 1910, 8 cols., 6 pp., $1 per yr. Jimmy Schiavone, ed. Local and national labor news. Local general news. Legal notices, movies, comics. Local and national ads. Uses mats. 24,137 circ., sworn state ment."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"GRAND RAPIDS LABOR NEWS (w) Fri. 203 Keith Theatre Bldg., Grand Rapids, Mich. Official organ Grand Rapids Central Labor Council. AFL. Est. 1910, 7 cols., $2 per yr. C. L. Daniels, ed. Uses mats. 5,900 circ., estimated. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"SQUARE DEAL, THE (w) Fri. 618 E. Michigan Ave., Jackson, Mich. Official organ Jackson Federa tion of Labor, Albion Trades Council, Ann Arbor Trades and Labor Council. AFL. Est. 1907, 6 cols., 8 pp., $1 per yr., 5c per issue. R. H. Tobin, ed. Local and national labor and general news. Legal notices, household hints. Local and national ads. Uses mats. 2,000 circ., estimated. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"SQUARE DEAL, THE (w) Fri. 206 Capitol Theatre Bldg., Kalamazoo, Mich. Official organ Kalamazoo Trades and Labor Council. AFL. Est. 1925, 6 cols., 8 pp., $1.50 per yr., 5c per issue. F. H. Gilmartin, ed. Local and national labor and general news. Con sumer notes. Local and national ads. Uses mats. 3,820 circ., estimated. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LANSING AUTO WORKER (f) Wed. 608i/2 E. Michigan Ave., Lansing, Mich. Official organ Local No. 182, United Automobile Workers of America, A. F. of L. AFL. Est. 1939, 5 cols., 4 pp., 5c per issue. Oliver Starks, ed. Local and national labor news. Local ads. Uses mats. 6,000 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LANSING INDUSTRIAL NEWS (w) Fri. Lansing, Mich. Official organ Lansing Federation of Labor. AFL. Est. 1920, 6 cols., 4 pp. Stanley Sharpe, ed. Columnist: F. W. Braun. Local and national labor and general news. Legal notices. Local and na tional ads. Uses mats. 2,700 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"PORT HURON LABOR NEWS, THE (w) Thur. 511i/2 Walter St., Fort Huron, Mich. Official organ Port Huron Trades-Labor Council. AFL. Est. 1935, 5 cols., 8 pp., $2 per yr. E. A. Parks, ed. Local and national labor and general news. Movies. Local and national ads. Uses mats. 3,200 circ., estimated. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR NEWS, THE (w) Fri. 242 Goff Bldg., Sagi naw, Mich. Official organ Saginaw, Bay City, Owosso and Shiawassee County Federations of Labor. AFL. Est. 1926, 8 cols., 6 pp., $1.50 per yr. E. B. Drug, ed. Columnists: Henry Zon, Philip Pearl. Local and national labor and general news. Local and national ads. Uses mats. 2,750 circ., sworn statement. MLPA, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR WORLD, THE (w) Thur. 320 W. 1st St., Duluth, Minn. Official organ Federated Trades Assembly. AFL. Est. 1895, 8 cols., 8 pp. av., $2 per yr., 5c per issue. A. E. Ramberg, ed. Columnist: Philip Pearl. Local and national labor and general news. Comics, legal notices. Local and national ads. Uses mats. 5,000 circ., publisher's report. ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MINNEAPOLIS LABOR REVIEW, THE (w) Fri. 529 S. 7th St., Minneapolis, Minn. Official organ Central Labor Union of Minneapolis and Hennepin Counties. AFL. Est. 1907, 7 cols., 4 pp., $2 per yr., 5c per issue. R. D. Kramer, ed. Local and national labor news, local general news. Local and national ads, classified ads. Uses mats. 10,000 circ., esti mated. PP."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"NORTHWEST ORGANIZER, THE (w) Thur. 257 Plymouth Ave. N., Minneapolis, Minn. Official organ Minneapolis Teamsters Joint Council. AFL. Est. 1935, 8 cols., 4 pp., $1.50 per yr., 5c per issue. M. B. Dunne, ed. Local and national labor news, local general news. Sports. Local ads. Uses mats. 20,000 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MINNESOTA FEDERATWNIST (m) 15th of mo. Labor Temple, St. Paul, Minn. Official organ Minne sota State Federation of Labor. AFL. Est. 1927, 2 cols., 4 pp. R. A. Oslon, ed. Local and national labor news. National general news. No ads."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MINNESOTA UNION ADVOCATE, THE (w) Thur. 408-10 N. Franklin St., St. Paul, Minn. Official organ St. Paul Trades and Labor Assembly. AFL. Est. 1897, 7 cols., 6 pp., $2 per yr., 5c per issue. A. F. Lockhart, ed. Columnists : Philip Pearl, Henry Zon. Local and national labor and general news. Movies, legal notices. Local and national ads. Uses mats. FP."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"COAST LABOR NEWS. Box 480, Gulfport, Miss. Official organ Gulfport Central Labor Union. AFL. T. E. Freeman, ed."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MISSISSIPPI LABOR FEDERATIONIST (w) Fri. 151 Wesley Ave., Jackson, Miss. Official organ Mis sissippi Federation of Labor. AFL. Est. 1935, 8 cols., 4 pp., $2 per yr., 5c per issue. F. W. Patton, ed. Local and national labor news. Local and na tional ads. Uses mats. 10,000 circ., estimated. UNS, ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"HANNIBAL LABOR PRESS, THE (w) Fri. Box 45, Hannibal, Mo. Official organ Hannibal Trades and Labor Assembly. AFL. Est. 1915, 7 cols., 8 pp., $1.50 per yr. B. F. Brown, ed. Local and national labor news. Cartoons. Serial stories, fashions, legal notices, comics, movie news, recipes. Local and national ads ; classified ads. Uses mats. AFLWNS, WNU."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MISSOURI TRADES UNIONIST, THE (m) 1st of mo. Room 212, Central Hotel Bldg., Jefferson City, Mp. Official organ Jefferson City Central Labor Council. AFL. Est. 1906, 6 cols., $1 per yr. C. W. Fear, ed. 2,400 circ., publisher's report. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"LABOR HERALD, THE (w) Fri. 402-410 Admiral Blvd., Kansas City, Mo. Official organ Carpenters' District Council, Central Labor Union, and Allied Printing Trades Council. AFL. Est. 1904, 6 cols., 4 pp., 50c per yr., 5c per issue. Local and national labor news. Theatre news. Local and national ads. Uses mats. 8,000 circ., estimated."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"ST. JOSEPH UNION - OBSERVER, THE (w) Fri. 8th and Edmond Sts., St. Joseph, Mo. Warren Adams, pubr. AFL. Est. 1900, 7 cols., 4 pp., $1 per yr. Warren Adams, ed. Local and national labor news. Local general news. Women's corner, legal notices. Local and national ads, want ads. Uses mats. 4,100 circ., publisher's report."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"ST. LOUIS LABOR TRIBUNE (w) Sat. 1023 N. Grand Blvd., St. Louis, Mo. Official organ District Building Laborers Council No. B-19. AFL. Est. 1935, 8 cols., 4 pp., $2 per yr., 10c per issue. H. B. Winkeler, ed. Columnist: Philip Pearl. Local and national labor news. Local and national ads. Uses mats. 50,000 circ., estimated. WNU, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"ST. LOUIS UNION LABOR ADVOCATE (f ) 1st and 15th of mo. 3019 N. Grand Blvd., St. Louis, Mo. Official organ Carpenters' District Council. AFL. Est. 1934, 8 cols., 4 pp., $5 per yr. M. A. Dillmon, ed. Local and national labor news. Local ads ; classified ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"TRADES COUNCIL UNION NEWS (w) Fri. 932-933 Syndicate Trust Bldg., St. Louis, Mo. Official organ St. Louis Bldg. Trades Council. AFL. Est. 1917, 6 cols., 8 pp., $1 per yr., 5c per issue. P. J. Morrin, ed. Local and national labor and general news. Women's page. Local and national ads. Uses mats."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"UNION LABOR RECORD (w) 302i/2 E. Walnut, Springfield, Mo. Official organ Springfield Central Labor Council. AFL. Est. 1937. Claud Hawley, ed. Local ads. Uses mats. 2,600 circ., estimated. AFLWNS, ILNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"MONTANA LABOR NEWS (w) Thur. Edit. Add. Box 1989, Butte, Mont. Pubn. Add. 21 E. Quartz St., Butte, Mont. Official organ Silver Bow Trades and Labor Council. AFL. 1924, 7 cols., 4 pp. av., $2 per yr. Clarence Blewitt, ed. Local and national labor and general news. Radio, legal notices. Local and national ads, want ads. Uses mats. 2,860 circ., sworn statement. FP."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"FLATHEAD LABOR JOURNAL (f ) Tues. P. O. Box 363, Kalispell, Mont. Official organ Central Trades and Labor Council. AFL. Est. 1938, 6 cols., 4 pp., $1 per yr., 5c per issue. Everett Henne, ed. Local and national labor news. Local ads. Uses mats. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"CENTRAL LABOR JOURNAL (m) 1st of mo. Box 438, Lincoln, Neb. Official organ Lincoln Central Labor Council. AFL. Est. 1930, 3 cols., $1.50 per yr. A. L. Larkin, ed. 5,000 circ., publisher's report. AFLWNS, UNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"UNIONIST, THE (w) Fri. Edit. Add. Box 808, Omaha, Neb. Pubn. Add. 312 S. 12th St., Omaha, Neb. Official organ Omaha Central Labor Union. AFL. Est. 1925, 5 cols., 4 pp., $1 per yr. A. M. Wiggins, ed. Local and national labor and general news. Local ads. Uses mats. 4,576 circ., publisher's report. AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"NEW HAMPSHIRE LABOR NEWS (m) 1st Tues. of mo. Manchester, N. H. Official organ New Hamp shire Federation of Labor. AFL. Est. 1938, 7 cols., 8 pp., 50c per yr., 5c per issue. J. L. Barry and B. H. Crowell, eds. Columnist : Philip Pearl. Local and national labor news, local general news. Local ads, classified ads. Uses mats. ILNS, AFLWNS."
AMERICAN FEDERATION OF LABOR LOCAL UNIONS,"NEW JERSEY LABOR HERALD (m) 1st of mo. 57 N. Bartram Ave., Atlantic City, N. J. Official organ New Jersey State Federation of Labor. AFL. Est. 1939, 5 cols., 8 pp., $1 per yr., 10c per issue. L. M. Herrmann, ed. Local and national labor news. Local and national ads. Uses mats. ILPA."
